summary_llmanswer,ground_truth,question,llm_answer
B,B,"as part of a pen test on a u.s. government system , you discover files containing social security numbers and other sensitive personally identifiable information ( pii ) . you are asked about controls placed on the dissemination of this information . which of the following acts should you check ? a. fisma b. privacy act c. patriot act d. freedom of information act","the correct answer is b . the privacy act of 1974 protects information of a personal nature , including social security numbers . the privacy act defines exactly what “ personal information ” is , and it states that government agencies can not disclose any personal information about an individual without that person ’ s consent . it also lists 12 exemptions for the release of this information ( for example , information that is part of a law enforcement issue may be released ) . in other questions you see , keep in mind that the privacy act generally will define the information that is not available to you during and after a test . dissemination and storage of private information needs to be closely controlled to keep you out of hot water . as a side note , how you obtain pii is oftentimes just as important as how you protect it once discovered . in your real-world adventures , keep the wiretap act ( 18 u.s. code chapter 119—wire and electronic communications interception and interception of oral communications ) and others like it in mind ."
B,B,in which step of the cyber kill chain methodology would an adversary create a deliverable malicious payload ? a . command and control ( c2 ) b. weaponization c. installation d. exploitation,"the correct answer is b . originally developed from a military model by lockheed martin ( url lockheedmartin.com/en-us/capabilities/cyber/cyber-kill-chain.html ) seeking to quantify how to identify , prepare to attack , engage , and destroy the cyber enemy target , the cyber kill chain is a methodology for tracing the stages of a cyberattack . covering everything from early reconnaissance to data exfiltration ( or worse ) , it has evolved to help security professionals better understand and combat adversarial efforts . the methodology includes seven steps—reconnaissance , weaponization , delivery , exploitation , installation , command and control ( c2 ) , and actions on objectives—detailing an attack from inception to closure . in the weaponization stage , adversaries create the deliverable malicious payload using an exploit , and in the next stage , delivery , they send it merrily along the way ."
C,C,an organization ’ s leadership is concerned about social engineering and hires a company to provide training for all employees . how is the organization handling the risk associated with social engineering ? a . they are accepting the risk . b . they are avoiding the risk . c. they are mitigating the risk . d. they are transferring the risk .,"the correct answer is c. when it comes to risks , there are four different methods of attempting to deal with them . in risk mitigation , steps are taken to reduce the chance that the risk even will occur , and in this example that ’ s exactly what ’ s happening . training on social engineering should help reduce the likelihood an employee will fall victim ( real-life concerns on this notwithstanding—we are talking about test questions here ) ."
B,B,in which phase of the ethical hacking methodology would a hacker be expected to discover available targets on a network ? a. reconnaissance b. scanning and enumeration c. gaining access d. maintaining access e. covering tracks,"the correct answer is b . the scanning and enumeration phase is where you ’ ll use things such as ping sweeps to discover available targets on the network . this step occurs after reconnaissance . in this step , tools and techniques are actively applied to information gathered during recon to obtain more in-depth information on the targets . for example , reconnaissance may show a network subnet to have 500 or so machines connected inside a single building , whereas scanning and enumeration would discover which ones are windows machines and which ones are running ftp . as an aside , it ’ s important to remember these phases and definitions are exactly what you ’ ll need to pass your exam , but in the real world , actions and findings don ’ t necessarily fit cleanly into predefined roles and definitions ."
C,C,which of the following was created to protect shareholders and the general public from corporate accounting errors and fraudulent practices as well as to improve the accuracy of corporate disclosures ? a. glba b. hipaa c. sox d. fitara,"the correct answer is c. the sarbanes-oxley act ( sox ; url introduced major changes to the regulation of financial practice and corporate governance in 2002 and is arranged into 11 titles . sox mandated a number of reforms to enhance corporate responsibility , enhance financial disclosures , and combat corporate and accounting fraud , and it created the “ public company accounting oversight board , ” also known as the pcaob , to oversee the activities of the auditing profession ."
B,B,which of the following best defines a logical or technical control ? a . air conditioning b . security tokens c. fire alarms d. security policy,"the correct answer is b . a logical ( or technical ) control is one used for identification , authentication , and authorization . it can be embedded inside an operating system , application , or database management system . a security token ( such as rsa ’ s secureid ) can provide a number that changes on a recurring basis that a user must provide during authentication , or it may provide a built-in number on a usb device that must be attached during authentication . a physical control is something , well , physical in nature , such as a lock or key or maybe a guard ."
D,D,which of the following was created to protect credit card data at rest and in transit in an effort to reduce fraud ? a. tcsec b . common criteria c. iso 27002 d. pci dss,"the correct answer is d. the payment card industry data security standard ( pci dss ) is a security standard for organizations that handle credit cards . a council including american express , jcb , discover , mastercard , and visa developed standards for the protection and transmission of card data to reduce credit card fraud . it ’ s administered by the payment card industry security standards council . validation of compliance is performed annually . the standard is composed of 12 requirements : • requirement 1 : install and maintain firewall configuration to protect data . • requirement 2 : remove vendor-supplied default passwords and other default security features . • requirement 3 : protect stored data . • requirement 4 : encrypt transmission of cardholder data . • requirement 5 : install , use , and update av ( antivirus ) . • requirement 6 : develop secure systems and applications . • requirement 7 : use “ need to know ” as a guideline to restrict access to data . • requirement 8 : assign a unique id to each stakeholder in the process ( with computer access ) . • requirement 9 : restrict any physical access to the data . • requirement 10 : monitor all access to data and network resources holding , transmitting , or protecting it . • requirement 11 : test security procedures and systems regularly . • requirement 12 : create and maintain an information security policy ."
A,A,"as part of the preparation phase for a pen test you are participating in , the client relays their intent to discover security flaws and possible remediation . they seem particularly concerned about internal threats from the user base . which of the following best describes the test type the client is looking for ? a . gray box b . black box c. white hat d. black hat","the correct answer is a . once again , this is a play on words the exam will throw at you . note the question is asking about a test type , not the attacker . reviewing ceh documentation , you ’ ll see there are three types of tests—white , black , and gray—with each designed to test a specific threat . white tests the internal threat of a knowledgeable systems administrator or an otherwise elevated privilege level user . black tests external threats with no knowledge of the target . gray tests the average internal user threat to expose potential security problems inside the network ."
D,D,in which phase of the attack would a hacker set up and configure “ zombie ” machines ? a. reconnaissance b . covering tracks c. gaining access d. maintaining access,"the correct answer is d. zombies are basically machines hackers commandeer to do their work for them . if the attacker is really good , the owners of the zombie machines don ’ t even know their machines have been drafted into the war . there are a bajillion methods for maintaining access on a machine you ’ ve already compromised , and maintaining that access does not necessarily mean the system will be used as a zombie—you could , for example , simply want to check in from time to time to see what new juicy information the user has decided to leave in a file or folder for you , or to check on new logins , credentials , and so on . however , configuring zombie systems definitely belongs in this phase ."
C,C,which of the following should not be included in a security policy ? a . policy exceptions b . details on noncompliance disciplinary actions c. technical details and procedures d. supporting document references,"the correct answer is c. the whole policy/standard/procedure/guideline thing can get confusing sometimes . a policy is a high-level document that doesn ’ t get down and dirty into technical details/specifications and is intended to improve awareness . policies are mandatory , generally short , and easy to understand , providing everyone with the rules of the road . standards are mandatory rules designed to support a policy , and they must include one or more specifications for hardware , software , or behavior . procedures are step- by-step instructions for completing a task . guidelines are not mandatory but rather are recommendations for accomplishing a goal or on how to act in a given situation ."
A,A,"which of the following is best defined as a set of processes used to identify , analyze , prioritize , and resolve security incidents ? a . incident management b . vulnerability management c. change management d. patch management","the correct answer is a . admittedly , this one is fairly easy—or at least it should be . incident management is the process of dealing with incidents and generally always has the same features/ steps—identify the problem or root cause , analyze and research the issue , contain the malicious effort , eradicate the effort , and resolve any damage caused . ecc defines the process as having eight steps : 1 . preparation , 2 . detection and analysis , 3 . classification/prioritization , 4 . notification , 5 . containment , 6 . forensic investigation , 7 . eradication and recovery , and 8 . post-incident activities . the incident response team ( irt ) is charged with handling this process ."
D,D,"during an assessment , your pen test team discovers child porn on a system . which of the following is the appropriate response ? a . continue testing and report findings at the out-brief . b . continue testing but report findings to the business owners . c. cease testing immediately and refuse to continue work for the client . d. cease testing immediately and contact authorities .","the correct answer is d. i hesitated to add this question , for reasons that are obvious and some that aren ’ t , but in the interest of covering everything , i felt i must . first and foremost , in the real world , discovery of something that you think might be illegal activity puts you and your team in a very , very tricky spot . should you accuse fill-in-the-blank of a crime and involve the authorities , you could be setting yourself up for lawsuits and all sorts of trouble . on the other hand , if you ignore it , you might be found complicit , or at the very least negligent . in the real world , the answer is to make sure your scope agreement advises you and the client of your duty regarding potential criminal activity found during the scope of your investigation . no guessing is allowed—it better be iron-clad evidence , obvious to all , or you ’ re in a world of hurt . finally , what potentially illegal activity you discover may determine your response regardless of the roe ( rules of engagement ) . if you discover child porn , you could be guilty of a crime for not reporting it , which isn ’ t necessarily true for many other crimes . for example , if you witness someone breaking into a house across your street , or were performing a pen test and reasonably suspected someone had already compromised the network , you are not compelled by law , in most states , to notify authorities . however , if you witness bodily harm , you likely would be compelled by law in most states . speaking purely academically , it ’ s fairly clear cut and will be so on your exam . in the real world , the true answer is to know the laws regarding your testing very well , and make sure your team has a good lawyer . in this example , however , the choices present make this relatively easy . ecc wants ethical hackers to report any illegal activity they find . period . possession of child porn is a crime no matter what , so again in this particular case , stop your testing and report it to the authorities ."
A,A,"which of the following best describes an intranet zone ? a . a zone with few heavy security restrictions b . a highly secured zone , usually employing vlans and encrypted communication channels c. a controlled buffer network between public and private networks d. a very restricted zone with no users","the correct answer is a . an intranet can be thought of , for testing purposes , as your own happy little networking safe space . it ’ s protected from outside attacks and interference by the dmz and all the layers of security on the outside . internally , you don ’ t assign loads of heavy security restrictions , because , as explained in the security versus usability discussion in the ceh all-in-one exam guide , fifth edition , as security increases , usability and functionality decrease . if your organization ’ s users are on the intranet , you want them as productive as possible , right ?"
"B, D","B, D","a machine in your environment uses an open x-server to allow remote access . the x-server access control is disabled , allowing connections from almost anywhere and with little to no authentication measures . which of the following are true statements regarding this situation ? ( choose all that apply . ) a . an external vulnerability can take advantage of the misconfigured x-server threat . b . an external threat can take advantage of the misconfigured x-server vulnerability . c. an internal vulnerability can take advantage of the misconfigured x-server threat . d. an internal threat can take advantage of the misconfigured x-server vulnerability .","the correct answer is b , d. this is an easy one because all you have to understand are the definitions of threat and vulnerability . a threat is any agent , circumstance , or situation that could potentiality cause harm or loss to an it asset . in this case , the implication is the threat is an individual ( hacker ) either inside or outside the network . a vulnerability is any weakness , such as a software flaw or logic design , that could be exploited by a threat to cause damage to an asset . in both these answers , the vulnerability—the access controls on the x-server are not in place—can be exploited by the threat , whether internal or external ."
B,B,which of the following best describes forensic evidence indicating a potential intrusion or malicious activity ? a. ttp b. ioc c. apt d. abi,"the correct answer is b . an indicator of compromise ( ioc ) describes the little clues and artifacts left behind on a resource that can indicate malicious intrusion or activity . their existence in and of themselves might not mean anything ; however , searching for known iocs in your network can be a valuable security exercise to undertake . iocs can come in many forms , some of which include privileged user activity anomalies , strange dns requests , conflicting port application traffic , unusual registry or system file changes , and suspect web traffic and unusual network activity ."
B,B,which header field is used to reassemble fragmented ip packets ? a. destination address b.ip identification c.don ’ t fragment bit d.tos field,"the correct answer is b . the destination address is used as the address to send messages to . the don ’ t fragment bit is used to tell network devices not to fragment the packet . the type of service ( tos ) field can be used to perform quality of service . the ip identification field is used to identify fragments of the same packet , as they would all have the same ip identification number ."
C,C,"if you were to see the following in a packet capture , what would you expect was happening ? ‘ or 1=1 ; a. cross-site scripting b.command injection c.sql injection d.xml external entity injection","the correct answer is c. a sql injection attack makes use of sql queries , which can include logic that may alter the flow of the application . in the example provided , the intent is to force the result of the sql query to always return a true . it is quoted the way it is to escape the existing query already in place in the application . none of the other attacks use a syntax that looks like the example ."
C,C,what method might you use to successfully get malware onto a mobile device ? a . through the apple store or google play store b.external storage on an android c.third-party app store d.jailbreaking,"the correct answer is c. the apple app store and the google play store are controlled by apple and google . it ’ s not impossible to get malware onto mobile devices that way , but it ’ s very difficult because apps get run through a vetting process . while some android devices will support external storage , it ’ s not an effective way to get malware onto a smartphone or other mobile device . jailbreaking can lead to malware being installed but it ’ s not the means to get malware onto a mobile device . third-party app stores can be a good means to get malware onto mobile devices because some third-party app stores don ’ t vet apps that are submitted ."
B,B,what protocol is used to take a destination ip address and get a packet to a destination on the local network ? a. dhcp b.arp c.dns d.rarp,the correct answer is b. dhcp is used to get ip configuration to endpoints . dns is used to resolve a hostname to an ip address and vice versa . rarp is the reverse address protocol used to take a mac address and resolve it to an ip address . arp is used to resolve an ip address to a mac address . communication on a local network requires the use of a mac address . the ip address is used to get to systems off the local network .
C,C,what would be the result of sending the string aaaaaaaaaaaaaaaaa into a variable that has been allocated space for 8 bytes ? a. heap spraying b.sql injection c.buffer overflow d.slowloris attack,the correct answer is c. heap spraying uses dynamically allocated space to store attack code . a slowloris attack is used to hold open web server connection buffers . a sql injection will be used to inject sql queries to the database server . a buffer overflow sends more data into the application than space has been allocated for .
B,B,"if you were to see the subnet mask 255.255.248.0 , what cidr notation ( prefix ) would you use to indicate the same thing ? a . /23 b./22 c./21 d./20",the correct answer is b . a /23 network would be 255.255.254.0 . a /22 would be 255.255.252 . a /20 would be 255.255.240.0 . only a /21 would give you a 255.255.248.0 subnet mask .
C,C,what is the primary difference between a worm and a virus ? a . a worm uses polymorphic code b . a virus uses polymorphic code c. a worm can self-propagate d. a virus can self-propagate,"the correct answer is c. both worms and viruses could be written to use polymorphic code , which means they could modify what they look like as they propagate . a worm , though , could self-propagate . it ’ s the one distinction between worms and viruses . viruses require some intervention on the part of the user to propagate and execute ."
A,A,how would you calculate risk ? a. probability * loss b.probability * mitigation factor c. ( loss + mitigation factor ) * ( loss/probability ) d.probability * mitigation factor,the correct answer is a . risk is the probability of the occurrence of an event multiplied by the dollar value of loss . there is no mitigation factor that is quantified so it could be put into a risk ­calculation .
B,B,how does an evil twin attack work ? a. phishing users for credentials b.spoofing an ssid c.changing an ssid d.injecting four-way handshakes,"the correct answer is b . an evil twin attack uses an access point masquerading to be the point of connection for stations trying to connect to a legitimate wireless network . stations reach out to make connections to this access point masquerading as another access point . while you may phish for credentials as part of an evil twin attack , credential phishing is not how evil twin attacks work . ssids don ’ t get changed as part of an evil twin attack , meaning no ssid that exists will become another ssid . injecting four-way handshakes won ’ t do much , since four- way assumes both ends are communicating , so the injection of a full communication stream will get ignored ."
C,C,"in order to remove malware in the network before it gets to the endpoint , you would use which of the following ? a. antivirus b.application layer gateway c.unified threat management appliance d.stateful firewall","the correct answer is c. antivirus solutions are used on endpoints or maybe on email servers . stateful firewalls add in the ability to factor in the state of the connection—new , related , established . an application layer gateway knows about application layer protocols . a unified threat management appliance adds additional capabilities on top of firewall functions , including antivirus ."
A,A,what is the purpose of a security policy ? a . providing high-level guidance on the role of security b.providing specific direction to security workers c.increasing the bottom line of a company d.aligning standards and practices,"the correct answer is a . standards and practices should be derived from a security policy , which is the high- level guidance on the role of security within an organization . security does not generally increase the bottom line of a company . policies are not for providing specific directions , which would be the role of procedures ."
B. Base64 encoding takes non-printable characters and encodes them in a way that they can be rendered in text. Encryption would generally render text unreadable to people. A cryptographic hash is a way of generating a fixed-length value to identify a value. URL encoding takes text and uses hexadecimal values to represent the characters. This is text that has been converted into hexadecimal so they can be used in a URL.,B,what has been done to the following string ? % 3cscript % 3ealert ( ‘ wubble ’ ),the correct answer is % 3c/ script % 3e a. base64 encoding b. url encoding c. encryption d. cryptographic hashing
B,B,what would you get from running the command dig ns domain.com ? a . mail exchanger records for domain.com b.name server records for domain.com c.caching name server for domain.com d.ip address for the hostname ns,"the correct answer is b . mail exchanger records would be identified as mx records . a name server record is identified with the tag ns . while an enterprise may have one or even several caching name servers , the caching name server wouldn ’ t be said to belong to the domain since it doesn ’ t have any domain identification associated with it ."
C,C,what technique would you ideally use to get all of the hostnames associated with a domain ? a. dns query b.zone copy c.zone transfer d.recursive request,"the correct answer is c. a dns query can be used to identify an ip address from a hostname or vice versa . you could potentially use a brute-force technique to identify hostnames , though you may not get everything using that method . a recursive request is common from a caching server to get an authoritative response . the term for getting all the contents of the zone is a zone transfer ."
A,A,"if you were to notice operating system commands inside a dns request while looking at a packet capture , what might you be looking at ? a. tunneling attack b.dns amplification c.dns recursion d.xml entity injection",the correct answer is a. tunneling attacks can be used to hide one protocol inside another . this may be used to send operating system commands using a tunnel system . a dns amplification attack is where a small dns request results in much larger responses sent to the target . dns recur- sion is used to look up information from dns servers . an xml entity injection attack is a web-based attack and wouldn ’ t be found inside a dns request .
D,D,what would be the purpose of running a ping sweep ? a . you want to identify responsive hosts without a port scan . b.you want to use something that is light on network traffic . c.you want to use a protocol that may be allowed through the firewall . d.all of the above .,"the correct answer is d. there may be several reasons for performing a ping sweep . you likely want to identify responsive hosts on the network segment you are targeting . you may not , though , want to use a full port scan . icmp is a lightweight protocol and there is a chance it will be allowed through the firewall , since it ’ s used for troubleshooting and diagnostics ."
C,C,how many functions are specified by nist ’ s cybersecurity framework ? a . 0 b.3 c.5 d.4,"the correct answer is c. the nist cybersecurity framework specifies five functions—identify , protect , detect , response , recover ."
B,B,what would be one reason not to write malware in python ? a. python interpreter is slow . b.python interpreter may not be available . c.there is inadequate library support . d.python is a hard language to learn .,"the correct answer is b. python interpreters may be considered to be slower to execute than a compiled program , however the difference is negligible and generally speed of execution isn ’ t much of a con- cern when it comes to malware . python is not a hard language to learn and there are a lot of community-developed libraries . one challenge , though , is that you may need a python interpreter , unless you go through the step of getting a python compiler and compiling your script . windows systems wouldn ’ t commonly have a python interpreter installed ."
B,B,"if you saw the following command line , what would you be capturing ? tcpdump -i eth2 host 192.168.10.5 a . traffic just from 192.168.10.5 b.traffic to and from 192.168.10.5 c.traffic just to 192.168.10.5 d.all traffic other than from 192.168.86.5","the correct answer is b . the expression host 192.168.10.5 is bpf indicating that tcpdump should only capture packets to and from 192.168.10.5 . if you wanted to only get it to or from , you would need to modify host with src or dest ."
C,C,what is diffie-hellman used for ? a . key management b.key isolation c.key exchange d.key revocation,the correct answer is c. certificates can be revoked but that ’ s not what diffie-hellman is used for . key man­ agement is a much broader topic than what diffie-hellman is used for . diffie-hellman is used for key exchange . it is a process that allows parties to an encrypted conversation to mutually derive the same key starting with the same base value .
D,D,which social engineering principle may allow a phony call from the help desk to be effective ? a . social proof b.imitation c.scarcity d.authority,"the correct answer is d. while you might be imitating someone , imitation is not a social engineering principle . neither social proof nor scarcity are at play in this situation . however , if you are calling from the help desk , you may be considered to be in a position of authority ."
D,D,how do you authenticate with snmpv1 ? a. username/password b.hash c.public string d.community string,"the correct answer is d. snmpv3 implemented username and password authentication . with version 1 , you used a cleartext community string . snmp doesn ’ t use hashes and while the word “ pub- lic ” is often used as a community string , a public string is not a way to authenticate with snmpv1 ."
A,A,what is the process java programs identify themselves to if they are sharing procedures over the network ? a. rmi registry b.rmi mapper c.rmi database d.rmi process,the correct answer is a. interprocess communications across systems using a network is called remote method invocation . the process that programs have to communicate with to get a dynamic port allocation is the rmi registry . this is the program you query to identify services that are available on a system that has implemented rmi .
C,C,what do we call an arp response without a corresponding arp request ? a. is-at response b.who-has arp c.gratuitous arp d.ip response,"the correct answer is c. when an arp response is sent without a corresponding arp request , it ’ s an unexpected or unnecessary message , so it is a gratuitous arp ."
D,D,"what are the three times that are typically stored as part of file metadata ? a . moves , adds , changes b.modified , accessed , deleted c.moved , accessed , changed d.modified , accessed , created","the correct answer is d. there are three date and time stamps commonly used in file metadata . when the file is created , that moment is stored . when a file is accessed by a user , that moment is stored . when a file is modified , that moment is stored . accessed is not the same as modified since accessing a file could be read-only . you could open a file , expecting to modify it but not ending up doing the modification . the access time still changes . while moves , adds , and changes may sometimes be referred to as mac like modified , accessed , and created , those are not tasks associated with file times ."
C,C,which of these is a reason to use an exploit against a local vulnerability ? a. pivoting b.log manipulation c.privilege escalation d.password collection,"the correct answer is c. local vulnerabilities are used against applications that are not listening on the network . this means they require you to be “ local ” to the machine and not remote . in other words , you have to be logged in somehow . a local vulnerability would not be used to collect pass- words since you don ’ t need a vulnerability to do that . similarly , you don ’ t need to make use of a vulnerability to manipulate logs or to pivot . most of those would require you to have elevated permissions , though . a local vulnerability may be exploited to get you those elevated permissions ."
A,A,what principle is used to demonstrate that a signed message came from the owner of the key that signed it ? a. non-repudiation b.non-verifiability c.integrity d.authority,"the correct answer is a . integrity is part of the cia triad but isn ’ t the principle that ties a signed message back to the subject of the signing certificate . non-verifiability is nonsense and authority isn ’ t rel- evant here . instead , non-repudiation means someone can ’ t say they didn ’ t send a message if it was signed with their key and that key was in their possession and password-protected ."
D,D,what is a viable approach to protecting against tailgaiting ? a. biometrics b.badge access c.phone verification d.man traps,"the correct answer is d. biometrics and badge access are forms of physical access control . phone verification could possibly be used as a way of verifying identity but it won ’ t protect against tailgating . a man trap , however , will protect against tailgating because a man trap only allows one person in at a time ."
B,B,why is bluesnarfing potentially more dangerous than bluejacking ? a. bluejacking sends while bluesnarfing receives . b.bluejacking receives while bluesnarfing sends . c.bluejacking installs keyloggers . d.bluesnarfing installs keyloggers .,"the correct answer is b. bluesnarfing is an attack that connects to a bluetooth device in order to grab data from that device . bluejacking can be used to send information to a bluetooth device that is receiving from the attacker , such as a text message . neither of these attacks install keylog- gers . the victim device sends information to the attacker in a bluesnarfing attack ."
